"","Grid Size","Value","Analysis"
"1","25","2.842","Mean"
"2","25","3","Mode"
"3","25","3","Median"
"4","50","3.499","Mean"
"5","50","3","Mode"
"6","50","3","Median"
"7","75","3.958","Mean"
"8","75","4","Mode"
"9","75","4","Median"
"10","100","4.079","Mean"
"11","100","4","Mode"
"12","100","4","Median"
"13","125","4.407","Mean"
"14","125","4","Mode"
"15","125","4","Median"
"16","150","4.617","Mean"
"17","150","4","Mode"
"18","150","5","Mode"
"19","150","5","Median"
"20","175","4.688","Mean"
"21","175","5","Mode"
"22","175","5","Median"
"23","200","4.926","Mean"
"24","200","5","Mode"
"25","200","5","Median"
"26","225","5.03","Mean"
"27","225","5","Mode"
"28","225","5","Median"
"29","250","5.166","Mean"
"30","250","4","Mode"
"31","250","5","Mode"
"32","250","5","Median"
"33","275","5.286","Mean"
"34","275","5","Mode"
"35","275","5","Median"
"36","300","5.202","Mean"
"37","300","5","Mode"
"38","300","5","Median"
"39","325","5.414","Mean"
"40","325","5","Mode"
"41","325","5","Median"
"42","350","5.457","Mean"
"43","350","5","Mode"
"44","350","5","Median"
"45","375","5.584","Mean"
"46","375","5","Mode"
"47","375","5","Median"
"48","400","5.535","Mean"
"49","400","5","Mode"
"50","400","5","Median"
"51","425","5.596","Mean"
"52","425","5","Mode"
"53","425","5","Median"
"54","450","5.595","Mean"
"55","450","5","Mode"
"56","450","5","Median"
"57","475","5.726","Mean"
"58","475","6","Mode"
"59","475","6","Median"
"60","500","5.851","Mean"
"61","500","5","Mode"
"62","500","6","Median"
"63","525","5.787","Mean"
"64","525","5","Mode"
"65","525","6","Median"
"66","550","6.064","Mean"
"67","550","6","Mode"
"68","550","6","Median"
"69","575","5.99","Mean"
"70","575","5","Mode"
"71","575","6","Median"
"72","600","5.842","Mean"
"73","600","5","Mode"
"74","600","6","Median"
"75","625","5.863","Mean"
"76","625","5","Mode"
"77","625","6","Median"
"78","650","6.083","Mean"
"79","650","5","Mode"
"80","650","6","Median"
"81","675","6.147","Mean"
"82","675","6","Mode"
"83","675","6","Median"
"84","700","6.176","Mean"
"85","700","6","Mode"
"86","700","6","Median"
"87","725","6.201","Mean"
"88","725","6","Mode"
"89","725","6","Median"
"90","750","6.132","Mean"
"91","750","6","Mode"
"92","750","6","Median"
"93","775","6.196","Mean"
"94","775","6","Mode"
"95","775","6","Median"
"96","800","6.248","Mean"
"97","800","6","Mode"
"98","800","6","Median"
"99","825","6.333","Mean"
"100","825","6","Mode"
"101","825","6","Median"
"102","850","6.286","Mean"
"103","850","6","Mode"
"104","850","6","Median"
"105","875","6.242","Mean"
"106","875","6","Mode"
"107","875","6","Median"
"108","900","6.388","Mean"
"109","900","5","Mode"
"110","900","6","Median"
"111","925","6.385","Mean"
"112","925","6","Mode"
"113","925","6","Median"
"114","950","6.495","Mean"
"115","950","6","Mode"
"116","950","6","Median"
"117","975","6.502","Mean"
"118","975","6","Mode"
"119","975","6","Median"
"120","1000","6.532","Mean"
"121","1000","6","Mode"
"122","1000","6","Median"
"123","1025","6.574","Mean"
"124","1025","6","Mode"
"125","1025","6","Median"
"126","1050","6.646","Mean"
"127","1050","6","Mode"
"128","1050","6","Median"
"129","1075","6.492","Mean"
"130","1075","5","Mode"
"131","1075","6","Median"
"132","1100","6.513","Mean"
